CODE,Country/Aggregate,Unit of the series,Title,Unit indication,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
EU28.1.1.0.0.OCPH,European Union (28 countries),Billions,Private final consumption expenditure at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,5483.732321,5613.602598,5749.872124,5937.966455,6147.501754,6351.863691,6499.595671,6613.315121,6730.78507,6883.770054,7036.508444,7190.327036,7354.2944,7386.372016,7281.987862,7341.859274,7344.774062,7302.721894,7298.15995,7386.661359,7541.890937,7721.990361,7870.351198    
EU27.1.1.0.0.OCPH,European Union (27 countries),Billions,Private final consumption expenditure at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,4699.782235,4799.064224,4894.105484,5047.192452,5210.454396,5367.203936,5472.764065,5538.300179,5611.436365,5726.088751,5840.870705,5976.879168,6109.646199,6151.587859,6084.637227,6135.862493,6146.615193,6086.151805,6057.410668,6120.315764,6242.471133,6379.681921,6503.944133
EA17.1.1.0.0.OCPH,Euro area (17 countries),Billions,Private final consumption expenditure at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,4186.021727,4266.866825,4345.197466,4480.628029,4627.774833,4766.623069,4858.87881,4902.458672,4954.783427,5039.782045,5130.017207,5233.501999,5326.810745,5346.165863,5295.394012,5337.84676,5334.87874,5270.08228,5235.178123,5279.583646,5374.626122,5480.254163,5566.900718         
EA18.1.1.0.0.OCPH,Euro area (18 countries),Billions,Private final consumption expenditure at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,4193.192145,4274.2877,4352.890223,4488.453917,4635.876724,4774.930727,4867.550737,4911.5641,4964.489767,5050.290582,5141.381302,5246.685885,5341.220574,5359.469163,5306.42084,5349.193663,5346.561723,5282.153877,5247.906618,5292.490984,5387.861938,5493.933226,5581.295132          
EA19.1.1.0.0.OCPH,Euro area (19 countries),Billions,Private final consumption expenditure at 2010 prices,Mrd ECU/EUR  Weighted mean of t/t-1 national growth rates (weights: t-1 current prices in ECU/EUR),NA,NA,4203.406982,4284.885465,4363.884515,4499.903447,4647.831617,4787.578362,4880.661689,4925.349639,4979.579652,5066.750727,5159.429448,5266.142859,5362.775208,5381.769433,5324.991694,5367.139203,5365.332533,5301.519822,5268.135802,5313.539659,5409.757942,5516.916299,5605.180802     
BEL.1.1.0.0.OCPH,Belgium,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-BEF,143.4767764,146.912956,149.22837,152.52107,155.24649,159.46993,162.14264,166.85024,168.54212,169.2123,170.08707,172.74056,174.8652,177.43678,180.72538,183.78897,184.69489,189.6929,190.34564,191.45801,192.88681,194.06485,195.80095,199.04486,201.67037                                                                                                                                             
BGR.1.1.0.0.OCPH,Bulgaria,Billions,Private final consumption expenditure at 2010 prices,Mrd BGN,29.1878818,28.43121957,28.29025485,29.10637545,24.02754428,24.46629368,25.30809027,27.32541317,29.43530618,31.14816229,33.1404018,36.2684219,38.97475862,42.33343356,47.68111779,49.28143782,47.04963496,47.70778,48.64221,50.09600858,48.85999519,50.20136839,52.45714963,54.32055882,56.94742236                                                                                                        
CZE.1.1.0.0.OCPH,Czech Republic,Billions,Private final consumption expenditure at 2010 prices,Mrd CZK,1160.6808,1204.971555,1271.525404,1367.328851,1406.827303,1398.213863,1441.10476,1464.185087,1505.979073,1550.528078,1624.668658,1681.25464,1736.546012,1802.13219,1877.569667,1931.792933,1919.724621,1939.906,1944.812,1921.229203,1931.107238,1965.819176,2038.442434,2112.582191,2202.968603                                                                                                    
DNK.1.1.0.0.OCPH,Denmark,Billions,Private final consumption expenditure at 2010 prices,Mrd DKK,641.119,683.806,695.286,712.355,733.339,750.59,749.691,752.59,754.309,765.216,775.426,811.461,841.471,866.276,881.601,885.924,855.518,862.222,864.6,869.03,871.458,879.401,893.241,911.594,926.266                                                                                                                                                                                                         
DEU.1.1.0.0.OCPH,Germany,Billions,Private final consumption expenditure at 2010 prices,Mrd EURO-DEM,1226.72961,1251.17164,1275.90292,1290.94417,1301.06809,1317.41099,1351.10917,1379.7454,1402.01802,1391.17096,1392.76186,1403.31966,1409.10476,1430.22036,1430.22036,1438.75338,1440.92279,1446.274,1465.7987,1485.46803,1494.57955,1508.89766,1534.78597,1566.45937,1594.0832                                                                                                                         
